transcript,summary
"#Person1#: Happy birthday, Aims! #Person2#: Thank you, Lisa. #Person1#: Yeh raha tumhare liye ek present. Mujhe umeed hai tumhe yeh pasand aayega. #Person2#: Oh, great! Mujhe yeh bahut pasand hai! Tumhe pata hai, main iski kaafi time se umeed kar rahi thi. #Person1#: Yeh sunke mujhe bahut khushi hui. #Person2#: Aao yahan; main tumhe kuch doston se milwata hoon.",Lisa Aims ko birthday ka present deti hai aur Aims ko yeh bahut pasand aata hai.
"#Person1#: Yahan aa gaye hum. #Person2#: Thank you. Fare kya hai? #Person1#: $ 10. #Person2#: Yeh kaise ho sakta hai? #Person1#: Dekho, pehle do kilometers ka rate do dollars hai aur har additional do hundred meters ka twenty cents. #Person2#: Samajh gaya. Tumhare drive ke liye shukriya.",#Person1# #Person2# ko taxi ka fare batata hai.
"#Person1#: Yeh ek accha basic computer package hai. Isme achha CPU hai, 256 megabytes RAM hai, aur ek DVD player bhi hai. #Person2#: Kya isme modem hai? #Person1#: Haan, isme built-in modem hai. Aap sirf computer ke peeche phone line plug karte hain. #Person2#: Monitor ka kya? #Person1#: Is deal mein 15-inch monitor shamil hai. Agar aap chahte hain, toh aap thode aur paise dekar 17-inch monitor le sakte hain. #Person2#: Theek hai. 15-inch kaafi hai. Thik hai, main ise le loonga.",#Person1# ne #Person2# ko ek basic computer package dikhaya. #Person2# ko yeh accha laga aur yeh lene ka socha.
"#Person1#: Excuse me, kya aapko pata hai visa office kahan hai? #Person2#: Haan, mujhe pata hai. Main aapko wahan le chalta hoon. #Person1#: Thanks. #Person2#: Kya aap study ya work ke liye abroad apply kar rahe ho? #Person1#: Main abroad padhai karna chahta hoon. #Person2#: Aap kya padhna chahte ho? #Person1#: Main English Literature padhna chahta hoon. #Person2#: Kya aapka visa aa gaya hai? #Person1#: Abhi tak nahi. Aaj mera visa official ke saath interview hai. #Person2#: Samajh gaya. Kya yeh aapka pehla interview hai? #Person1#: Nahi, main pehle hi 3 interviews de chuka hoon.",#Person1# ka visa official ke saath interview hai. #Person1# ne #Person2# se visa office ka rasta poocha.
"#Person1#: Kya haal hai, ladies! Aap log aaj raat bahut acchi lag rahi ho. Kya main yeh dance le sakta hoon? #Person2#: Woh cute hai! Woh Tiger Woods ki tarah lagta hai! Lekin, main dance nahi kar sakti... #Person1#: Sab theek hai. Main aapko sab sahi moves dikhata hoon. Mera naam Malik hai. #Person2#: Aap se milke accha laga. Main Wen hoon, aur yeh Nikki hai. #Person1#: Aap kaise ho, vista? Kya main aapki dost ko dance floor par le ja sakta hoon? #Person2#: Usse koi problem nahi hai agar aapko pairon par kadam rakhne se koi dikkat nahi hai. #Person1#: Theek hai. Cool! Chalo chalte hain!",Malik Nikki ko dance karne ke liye invite karta hai. Nikki tab agree karti hai jab Malik ko pairon par kadam rakhne se koi dikkat nahi hai.
"#Person1#: Tumne mujhe kyun nahi bataya ki tumhari girlfriend hai? #Person2#: Sorry, mujhe laga tumhe pata hai. #Person1#: Lekin tumhe mujhe batana chahiye tha ki tum usse pyaar karte ho. #Person2#: Kya maine nahi bataya? #Person1#: Tumhe pata hai tumne nahi bataya. #Person2#: Accha, main ab bata raha hoon. #Person1#: Haan, lekin tumhe pehle batana chahiye tha. #Person2#: Mujhe nahi laga tumhe interest hoga. #Person1#: Tum serious ho? Tumhe kaise himmat hui mujhe nahi batane ki tum usse shaadi karne wale ho? #Person2#: Sorry, mujhe nahi laga yeh matter karta hai. #Person1#: Oh, tum mardon! Tum sab waise hi ho.",#Person1# gussa hai kyunki #Person2# ne #Person1# ko nahi bataya ki #Person2# ki girlfriend hai aur wo usse shaadi karne wale hain.
"#Person1#: Excuse me, kya aapne keys ka set dekha? #Person2#: Kaisi keys? #Person1#: Paanch keys aur ek chhoti foot ornament. #Person2#: Kya bura hai! Maine unhe nahi dekha. #Person1#: Toh kya aap meri madad kar sakte hain? Yeh meri pehli baar hai yahan. #Person2#: Bilkul. Mujhe aapki madad karke khushi hogi. #Person1#: Yeh aapka bahut bada daya hai. #Person2#: Yeh koi badi baat nahi hai. Hey, maine unhe dhoondh liya. #Person1#: Oh, shukr hai! Mujhe nahi pata kaise aapka shukriya karun, guys. #Person2#: Aapka swagat hai.",#Person1# keys ka set dhoondh raha hai aur #Person2# se madad maangta hai.
"#Person1#: Hello Mrs. Parker, kaise ho aap? #Person2#: Hello Dr. Peters. Bas theek hai, thank you. Ricky aur main yahan uske vaccines ke liye aaye hain. #Person1#: Bahut accha. Chalo dekhte hain, uski vaccination record ke according, Ricky ne Polio, Tetanus aur Hepatitis B shots le liye hain. Uski age 14 months hai, toh usse Hepatitis A, Chickenpox aur Measles shots ki zarurat hai. #Person2#: Rubella aur Mumps ka kya? #Person1#: Well, main abhi sirf inhe de sakta hoon, aur kuch weeks baad main baaki de sakta hoon. #Person2#: OK, great. Doctor, mujhe lagta hai mujhe bhi Tetanus booster ki zarurat hai. Last time maine yeh shayad pandrah saal pehle liya tha! #Person1#: Hum apne records check karenge aur main nurse se booster bhi administer karwa dunga. Ab, please Ricky ka arm tight pakdo, yeh thoda sting kar sakta hai.",Mrs. Parker Ricky ko uske vaccines ke liye lekar aati hain. Dr. Peters record check karte hain aur phir Ricky ko vaccine dete hain.
"#Person1#: Kya Bean ne yeh dirty jokes tumhe bhi bheje? Dekho! #Person2#: Kya creep hai! Phony good luck e-mails ek baat hain, lekin sexual harassment toh line cross karna hai. #Person1#: Koi hairani nahi ki usne pehle mera address maanga - woh toh sirf mujhe harass karna chahta hai! #Person2#: Tum spam filter use karne ki koshish kar sakti ho taaki woh sab reject ho jaye jo obviously pornographic hai ya jo tum nahi chahati.",#Person2# ne #Person1# ko suggest kiya ki woh spam filter use kare taaki Bean ke pornographic stuff reject ho sake.
#Person1#: Mujhe uske kehne se confusion ho raha hai. #Person2#: Tum aisa kyun keh rahe ho? #Person1#: Mujhe nahi pata wo kya karna chahta hai. Kya wo mujhe madad karna chahta hai ya sirf daantna? #Person2#: Thoda socho. Mujhe lagta hai uska dil achha hai.,#Person1# #Person2# ko batata hai ki #Person1# us aadmi ke shabdon se confused hai.
"#Person1#: Hi, Mr. Smith. Main Doctor Hawkins hoon. Aap aaj yahan kyun hain? #Person2#: Maine socha ki check-up karwana achha idea hoga. #Person1#: Haan, aapka check-up toh 5 saal se nahi hua. Aapko har saal ek baar check-up karwana chahiye. #Person2#: Mujhe pata hai. Main sochta hoon ki jab tak kuch galat nahi hai, doctor ke paas kyun jaana? #Person1#: Well, serious illnesses se bachne ka best tareeka hai unhe jaldi jaan lena. Toh koshish karein ki kam se kam saal mein ek baar aana apne liye. #Person2#: Ok. #Person1#: Chaliye dekhte hain. Aankhein aur kaan theek lag rahe hain. Ek gehri saans lein, please. Kya aap smoke karte hain, Mr. Smith? #Person2#: Haan. #Person1#: Smoking lung cancer aur heart disease ka leading cause hai, aapko pata hai. Aapko sach mein quit karna chahiye. #Person2#: Maine hazaar baar try kiya hai, par main is habit ko chhod nahi pa raha hoon. #Person1#: Well, humare paas classes aur kuch medications hain jo madad kar sakte hain. Main aapko aur information doonga jab aap ja rahe honge. #Person2#: Ok, thanks doctor.","Mr. Smith ka check-up ho raha hai, aur Doctor Hawkins unhe har saal check-up karne ki salah dete hain. Hawkins kuch information denge unki classes aur medications ke baare mein jo Mr. Smith ko smoking chhodne mein madad kar sakti hain."
"#Person1#: Mujhe apne Valentine's Day ke baare mein kuch batao. #Person2#: Theek hai, us din, ladke aam taur par ladkiyon ko roses dete hain aur ladkiyan unhe chocolate deti hain badle mein. #Person1#: Kitna romantic hai. Jawaan logon ko bahut maza aata hoga. #Person2#: Haan, wahi toh is holiday ka maqsad hai, hai na?",#Person2# ne #Person1# ko apne Valentine's Day ke baare mein bataya. #Person1# ko yeh romantic laga.
"#Person1#: Dekh! Yeh Mom ki picture hai unki cap aur gown mein. #Person2#: Kya yeh pyaari nahi hai! Jab unhone apni Master's Degree Miami University se li thi. #Person1#: Haan, hum un par bahut garv mehsoos karte hain. #Person2#: Oh, yeh toh sabki saath ki achi picture hai. Kya tumhare paas negative hai? Kya mujhe ek copy mil sakti hai? #Person1#: Bilkul, main tumhare liye ek banwa dunga. Tumhe print chahiye? #Person2#: Nahi. Mujhe ek slide chahiye, mere paas ek naya projector hai. #Person1#: Main bhi woh dekhna chahunga. #Person2#: Mere liye bhi ek wallet size print banwa do. #Person1#: Zaroor.",#Person2# ko picture pyaari lagti hai aur #Person1# se slide aur wallet-size print maangta hai.
